# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11366040176827
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_read
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_read
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_read
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_begin
     0.40%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] alloc_pages
     0.39%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] __alloc_pages
     0.39%     0.03%  java             [kernel.kallsyms]     [k] mem_cgroup_migrate
     0.39%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add_inactive_or_unevictable
     0.38%     0.03%  java             [kernel.kallsyms]     [k] lock_page_lruvec_irq
     0.38%     0.17%  java             [kernel.kallsyms]     [k] charge_memcg
     0.38%     0.10%  localfetcher#1   [kernel.kallsyms]     [k] __pagevec_lru_add
     0.37%     0.00%  java             [kernel.kallsyms]     [k] __mem_cgroup_uncharge
     0.37%     0.00%  VM Thread        [kernel.kallsyms]     [k] tlb_flush_mmu
     0.36%     0.03%  java             [kernel.kallsyms]     [k] remove_migration_pte
     0.36%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_ra_unbounded
     0.36%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     0.36%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_get_pages
     0.36%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_timer
     0.36%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ondemand_readahead
     0.36%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_async_ra
     0.35%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] handle_mm_fault
     0.35%     0.03%  kswapd1          [kernel.kallsyms]     [k] __remove_mapping
     0.35%     0.29%  LocalJobRunner   [kernel.kallsyms]     [k] get_mem_cgroup_from_mm
     0.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     0.34%     0.00%  VM Thread        [kernel.kallsyms]     [k] free_pages_and_swap_cache
     0.34%     0.03%  java             [kernel.kallsyms]     [k] update_process_times
     0.34%     0.34%  InMemoryMerger   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.34%     0.01%  VM Thread        [kernel.kallsyms]     [k] asm_exc_page_fault
     0.34%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] kthread
     0.34%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ret_from_fork
     0.34%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] worker_thread
     0.34%     0.27%  LocalJobRunner   [kernel.kallsyms]     [k] rmqueue_bulk
     0.33%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] process_one_work
     0.33%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.33%     0.06%  VM Thread        [kernel.kallsyms]     [k] release_pages
     0.33%     0.02%  Sampler Reader   [kernel.kallsyms]     [k] __handle_mm_fault
     0.33%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_handle
     0.33%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.33%     0.07%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.33%     0.33%  swapper          [unknown]             [.] 0000000000000000
     0.32%     0.03%  java             [kernel.kallsyms]     [k] uncharge_batch
     0.32%     0.07%  localfetcher#1   [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.32%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] worker_thread
     0.32%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] kthread
     0.32%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ret_from_fork
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] workingset_refault
     0.32%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kthread
     0.32%     0.00%  kcompactd1       [kernel.kallsyms]     [k] ret_from_fork
     0.32%     0.00%  kcompactd1       [kernel.kallsyms]     [k] kcompactd
     0.32%     0.00%  kcompactd1       [kernel.kallsyms]     [k] compact_zone
     0.32%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] process_one_work
     0.32%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.32%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] grab_cache_page_write_begin
     0.32%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] pagecache_get_page
     0.32%     0.28%  java             [kernel.kallsyms]     [k] page_counter_charge
     0.31%     0.00%  kcompactd1       [kernel.kallsyms]     [k] proactive_compact_node
     0.31%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.31%     0.07%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.31%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     0.31%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __x64_sys_munmap
     0.31%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __vm_munmap
     0.31%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __do_munmap
     0.31%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] unmap_region
     0.31%     0.00%  kcompactd1       [kernel.kallsyms]     [k] migrate_pages
     0.30%     0.29%  java             [kernel.kallsyms]     [k] task_numa_fault
     0.30%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] move_to_new_page
     0.30%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_page
