# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 98K of event 'cycles'
# Event count (approx.): 3453612818999
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.30%     0.10%  pool-4-thread-1  [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.29%     0.27%  pool-4-thread-1  [kernel.kallsyms]  [k] rmqueue_bulk
     0.29%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_buffer_head
     0.29%     0.29%  pool-4-thread-1  [unknown]          [.] 0000000000000000
     0.29%     0.01%  java             [kernel.kallsyms]  [k] asm_sysvec_call_function
     0.29%     0.08%  kworker/u96:1-e  [kernel.kallsyms]  [k] test_clear_page_writeback
     0.29%     0.27%  pool-4-thread-1  [kernel.kallsyms]  [k] xas_load
     0.26%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.26%     0.03%  java             [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.24%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] kthread
     0.24%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ret_from_fork
     0.24%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] worker_thread
     0.24%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.24%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] process_one_work
     0.24%     0.00%  VM Thread        [kernel.kallsyms]  [k] asm_exc_page_fault
     0.24%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.24%     0.03%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.24%     0.00%  VM Thread        [kernel.kallsyms]  [k] exc_page_fault
     0.23%     0.00%  java             [kernel.kallsyms]  [k] sysvec_call_function
     0.23%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_user_addr_fault
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_syscall_64
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.23%     0.00%  VM Thread        [kernel.kallsyms]  [k] handle_mm_fault
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] arch_do_signal_or_restart
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] get_signal
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_exit
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] do_group_exit
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] exit_mmap
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] mmput
     0.23%     0.07%  java             [kernel.kallsyms]  [k] free_pcppages_bulk
     0.23%     0.03%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_page_range
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_single_vma
     0.23%     0.00%  C2 CompilerThre  [kernel.kallsyms]  [k] unmap_vmas
     0.23%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.22%     0.00%  VM Thread        [kernel.kallsyms]  [k] __handle_mm_fault
     0.21%     0.21%  pool-4-thread-1  [kernel.kallsyms]  [k] sync_regs
     0.21%     0.20%  java             [kernel.kallsyms]  [k] up_read
     0.21%     0.05%  kworker/u98:2-f  [kernel.kallsyms]  [k] __test_set_page_writeback
     0.20%     0.00%  java             [kernel.kallsyms]  [k] __sysvec_call_function
     0.20%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.20%     0.02%  kswapd0          [kernel.kallsyms]  [k] __remove_mapping
     0.20%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_journal_stop
     0.19%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_swap_page
     0.19%     0.00%  java             [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.19%     0.00%  java             [kernel.kallsyms]  [k] do_swap_page
     0.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] read_pages
     0.19%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_reserve_inode_write
     0.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] balance_dirty_pages
     0.18%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compaction_alloc
     0.18%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] mem_cgroup_wb_stats
     0.18%     0.14%  pool-4-thread-1  [kernel.kallsyms]  [k] start_this_handle
     0.18%     0.00%  VM Thread        [kernel.kallsyms]  [k] swapin_readahead
     0.18%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_inode_csum_set
     0.18%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] jbd2_journal_stop
     0.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] task_work_run
     0.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] task_numa_work
     0.17%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] change_prot_numa
     0.17%     0.00%  VM Thread        [kernel.kallsyms]  [k] __read_swap_cache_async
     0.17%     0.01%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.17%     0.09%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.16%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] irqentry_exit
     0.16%     0.01%  kworker/u96:0-e  [kernel.kallsyms]  [k] end_page_writeback
