# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11131294483677
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                                                          
# ........  ........  ...............  .......................  ................................................................................................................................................................................
#
     1.22%     0.01%  mariadbd         [kernel.kallsyms]        [k] __sysvec_call_function
     1.21%     0.04%  mariadbd         [kernel.kallsyms]        [k] schedule_timeout
     1.21%     0.01%  swapper          [kernel.kallsyms]        [k] nvme_irq
     1.20%     0.02%  mariadbd         [kernel.kallsyms]        [k] __submit_bio_noacct_mq
     1.20%     0.00%  swapper          [kernel.kallsyms]        [k] __sysvec_call_function_single
     1.19%     0.11%  swapper          [kernel.kallsyms]        [k] nvme_process_cq
     1.18%     0.02%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_poll
     1.17%     0.49%  mariadbd         [kernel.kallsyms]        [k] update_curr
     1.17%     0.12%  mariadbd         [kernel.kallsyms]        [k] rmap_walk_anon
     1.16%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_poll
     1.15%     0.11%  tclsh8.6         [kernel.kallsyms]        [k] do_sys_poll
     1.15%     0.07%  mariadbd         [kernel.kallsyms]        [k] blk_mq_submit_bio
     1.13%     0.01%  mariadbd         [kernel.kallsyms]        [k] perf_event_task_tick
     1.12%     0.15%  mariadbd         [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     1.12%     0.06%  mariadbd         [kernel.kallsyms]        [k] do_sys_poll
     1.11%     0.01%  swapper          [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     1.10%     0.01%  mariadbd         [kernel.kallsyms]        [k] __getblk_gfp
     1.10%     0.01%  swapper          [kernel.kallsyms]        [k] hrtimer_interrupt
     1.08%     0.03%  mariadbd         [kernel.kallsyms]        [k] __read_extent_tree_block
     1.08%     0.94%  mariadbd         [kernel.kallsyms]        [k] ext4_es_lookup_extent
     1.07%     0.01%  mariadbd         [kernel.kallsyms]        [k] __find_get_block
     1.07%     0.05%  swapper          [kernel.kallsyms]        [k] __irq_exit_rcu
     1.03%     0.07%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common
     1.03%     0.01%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common_lock
     1.02%     0.01%  mariadbd         [kernel.kallsyms]        [k] blk_mq_end_request
     1.02%     0.04%  mariadbd         [kernel.kallsyms]        [k] sock_def_readable
     1.01%     0.05%  mariadbd         [kernel.kallsyms]        [k] do_poll.constprop.0
     1.01%     0.04%  mariadbd         [kernel.kallsyms]        [k] find_busiest_group
     1.00%     0.24%  mariadbd         [kernel.kallsyms]        [k] syscall_exit_work
     1.00%     0.07%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_from_idle
     1.00%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pwrite64
     1.00%     0.00%  mariadbd         [kernel.kallsyms]        [k] vfs_write
     0.99%     0.00%  mariadbd         [kernel.kallsyms]        [k] new_sync_write
     0.99%     0.00%  mariadbd         [kernel.kallsyms]        [k] ext4_buffered_write_iter
     0.97%     0.08%  tclsh8.6         [kernel.kallsyms]        [k] do_poll.constprop.0
     0.96%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     0.96%     0.07%  mariadbd         [kernel.kallsyms]        [k] update_sd_lb_stats.constprop.0
     0.96%     0.00%  mariadbd         [kernel.kallsyms]        [k] generic_perform_write
     0.96%     0.30%  swapper          [kernel.kallsyms]        [k] enqueue_entity
     0.96%     0.20%  mariadbd         [kernel.kallsyms]        [k] mapping_get_entry
     0.95%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] __sys_recvfrom
     0.94%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_mq_flush_plug_list
     0.94%     0.08%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock_irq
     0.93%     0.04%  mariadbd         [kernel.kallsyms]        [k] __blk_mq_try_issue_directly
     0.93%     0.01%  swapper          [kernel.kallsyms]        [k] __softirqentry_text_start
     0.93%     0.25%  mariadbd         [kernel.kallsyms]        [k] enqueue_entity
     0.93%     0.02%  mariadbd         [kernel.kallsyms]        [k] amd_pmu_disable_all
     0.92%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_mq_sched_insert_requests
     0.92%     0.04%  mariadbd         [kernel.kallsyms]        [k] blk_update_request
     0.92%     0.01%  swapper          [kernel.kallsyms]        [k] __hrtimer_run_queues
     0.92%     0.01%  swapper          [kernel.kallsyms]        [k] __run_hrtimer
     0.91%     0.04%  mariadbd         [kernel.kallsyms]        [k] pollwake
     0.90%     0.01%  swapper          [kernel.kallsyms]        [k] tick_sched_timer
     0.88%     0.01%  mariadbd         [kernel.kallsyms]        [k] blk_finish_plug
     0.87%     0.68%  mariadbd         [kernel.kallsyms]        [k] update_sg_lb_stats
     0.87%     0.12%  mariadbd         [kernel.kallsyms]        [k] nvme_queue_rq
     0.87%     0.19%  mariadbd         [kernel.kallsyms]        [k] select_idle_cpu
     0.87%     0.00%  kswapd0          [kernel.kallsyms]        [k] kswapd
     0.87%     0.00%  kswapd0          [kernel.kallsyms]        [k] kthread
     0.87%     0.00%  kswapd0          [kernel.kallsyms]        [k] ret_from_fork
     0.87%     0.06%  swapper          [kernel.kallsyms]        [k] tick_nohz_get_sleep_length
