# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 381K of event 'cycles'
# Event count (approx.): 6199165226026
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __vm_munmap
     0.58%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] process_one_work
     0.58%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.58%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] unmap_region
     0.58%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_release_io_end
     0.58%     0.09%  kworker/u96:0-e  [kernel.kallsyms]         [k] ext4_finish_bio
     0.57%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages
     0.57%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] __ext4_journal_start_sb
     0.55%     0.21%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_mark_iloc_dirty
     0.53%     0.13%  pool-4-thread-1  [kernel.kallsyms]         [k] balance_dirty_pages_ratelimited
     0.53%     0.41%  kswapd1          [kernel.kallsyms]         [k] isolate_pages
     0.53%     0.00%  java             [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     0.52%     0.08%  pool-4-thread-1  [kernel.kallsyms]         [k] __block_commit_write.constprop.0.isra.0
     0.52%     0.03%  pool-4-thread-1  [kernel.kallsyms]         [k] jbd2__journal_start
     0.51%     0.00%  java             [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     0.51%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     0.51%     0.02%  java             [kernel.kallsyms]         [k] native_flush_tlb_multi
     0.51%     0.00%  java             [kernel.kallsyms]         [k] do_wp_page
     0.51%     0.00%  java             [kernel.kallsyms]         [k] wp_page_copy
     0.50%     0.05%  java             [kernel.kallsyms]         [k] migrate_pages
     0.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     0.49%     0.49%  pool-4-thread-1  [kernel.kallsyms]         [k] __get_user_nocheck_1
     0.49%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     0.48%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     0.48%     0.00%  java             [kernel.kallsyms]         [k] on_each_cpu_cond_mask
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] kthread
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] ret_from_fork
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] worker_thread
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] process_one_work
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] wb_workfn
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] wb_writeback
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] __writeback_inodes_wb
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] writeback_sb_inodes
     0.47%     0.07%  java             [kernel.kallsyms]         [k] get_page_from_freelist
     0.47%     0.34%  kswapd0          [kernel.kallsyms]         [k] isolate_pages
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] do_writepages
     0.47%     0.00%  kworker/u98:1-w  [kernel.kallsyms]         [k] __writeback_single_inode
     0.47%     0.02%  kworker/u98:1-w  [kernel.kallsyms]         [k] ext4_writepages
     0.47%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] task_work_run
     0.47%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] task_numa_work
     0.46%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] change_prot_numa
     0.46%     0.00%  java             [kernel.kallsyms]         [k] syscall_exit_to_user_mode
     0.45%     0.00%  java             [kernel.kallsyms]         [k] schedule
     0.45%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kcompactd
     0.45%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kthread
     0.45%     0.00%  kcompactd1       [kernel.kallsyms]         [k] ret_from_fork
     0.45%     0.00%  kcompactd1       [kernel.kallsyms]         [k] compact_zone
     0.45%     0.00%  kcompactd1       [kernel.kallsyms]         [k] proactive_compact_node
     0.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] irqentry_exit
     0.44%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     0.44%     0.04%  pool-4-thread-1  [kernel.kallsyms]         [k] lru_cache_add
     0.44%     0.43%  localfetcher#1   [kernel.kallsyms]         [k] native_irq_return_iret
     0.43%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kthread
     0.43%     0.00%  kcompactd0       [kernel.kallsyms]         [k] ret_from_fork
     0.43%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kcompactd
