# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3658951943881
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
     0.63%     0.00%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     0.62%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] kthread
     0.62%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] ret_from_fork
     0.62%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] worker_thread
     0.62%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] process_one_work
     0.61%     0.52%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.60%     0.59%  Executor task l  [kernel.kallsyms]                   [k] xas_start
     0.60%     0.23%  Executor task l  [kernel.kallsyms]                   [k] lru_gen_add_page
     0.59%     0.58%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     0.59%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __ext4_journal_start_sb
     0.57%     0.01%  Executor task l  [kernel.kallsyms]                   [k] file_update_time
     0.57%     0.57%  Executor task l  [kernel.kallsyms]                   [k] __list_del_entry_valid
     0.57%     0.55%  Executor task l  [kernel.kallsyms]                   [k] memset
     0.56%     0.35%  Executor task l  [kernel.kallsyms]                   [k] irqtime_account_irq
     0.55%     0.55%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_active
     0.54%     0.01%  Executor task l  [kernel.kallsyms]                   [k] generic_update_time
     0.53%     0.02%  Executor task l  [kernel.kallsyms]                   [k] create_page_buffers
     0.53%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     0.53%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     0.52%     0.05%  Executor task l  [kernel.kallsyms]                   [k] jbd2__journal_start
     0.52%     0.38%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock
     0.51%     0.03%  Executor task l  [kernel.kallsyms]                   [k] create_empty_buffers
     0.51%     0.37%  Executor task l  [kernel.kallsyms]                   [k] xas_find_conflict
     0.51%     0.03%  Executor task l  [kernel.kallsyms]                   [k] zero_user_segments
     0.50%     0.13%  Executor task l  [kernel.kallsyms]                   [k] xas_store
     0.50%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_end_request
     0.49%     0.28%  Executor task l  [kernel.kallsyms]                   [k] __mod_memcg_lruvec_state
     0.48%     0.05%  Executor task l  [kernel.kallsyms]                   [k] alloc_page_buffers
     0.47%     0.02%  Executor task l  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.46%     0.16%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_wait_on_overflow
     0.46%     0.01%  kswapd0          [kernel.kallsyms]                   [k] do_shrink_slab
     0.45%     0.45%  Executor task l  [kernel.kallsyms]                   [k] update_cfs_group
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] wb_workfn
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] wb_do_writeback
     0.45%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] wb_writeback
     0.44%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] __writeback_inodes_wb
     0.44%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] writeback_sb_inodes
     0.44%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] __writeback_single_inode
     0.44%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] do_writepages
     0.44%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] ext4_writepages
     0.44%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_slab_memcg
     0.43%     0.02%  Executor task l  [kernel.kallsyms]                   [k] alloc_buffer_head
     0.43%     0.03%  Executor task l  [kernel.kallsyms]                   [k] xa_load
     0.43%     0.07%  Executor task l  [kernel.kallsyms]                   [k] blk_update_request
     0.41%     0.06%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     0.41%     0.04%  Executor task l  [kernel.kallsyms]                   [k] nvme_map_data
     0.41%     0.04%  Executor task l  [kernel.kallsyms]                   [k] clockevents_program_event
     0.40%     0.40%  Executor task l  [kernel.kallsyms]                   [k] update_irq_load_avg
     0.40%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ext4_reserve_inode_write
     0.39%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_get_block_prep
     0.39%     0.05%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.39%     0.14%  Executor task l  [kernel.kallsyms]                   [k] timerqueue_del
     0.39%     0.39%  Executor task l  [kernel.kallsyms]                   [k] check_cpu_stall
     0.39%     0.00%  kswapd0          [kernel.kallsyms]                   [k] super_cache_scan
     0.39%     0.04%  kswapd0          [kernel.kallsyms]                   [k] free_unref_page_list
     0.38%     0.38%  Executor task l  [kernel.kallsyms]                   [k] arch_scale_freq_tick
     0.38%     0.05%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_map_blocks.constprop.0
     0.38%     0.00%  kswapd0          [kernel.kallsyms]                   [k] prune_icache_sb
     0.37%     0.35%  Executor task l  [kernel.kallsyms]                   [k] get_mem_cgroup_from_mm
     0.37%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] wb_check_old_data_flush
     0.36%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __block_commit_write.constprop.0.isra.0
     0.36%     0.36%  Executor task l  [kernel.kallsyms]                   [k] __irqentry_text_end
     0.36%     0.12%  Executor task l  [kernel.kallsyms]                   [k] xa_get_order
     0.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __list_lru_walk_one
     0.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] list_lru_walk_one
     0.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __invalidate_mapping_pages
     0.35%     0.00%  kswapd0          [kernel.kallsyms]                   [k] inode_lru_isolate
     0.34%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] move_to_new_page
     0.34%     0.15%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_do_timer
     0.34%     0.17%  Executor task l  [kernel.kallsyms]                   [k] start_this_handle
     0.34%     0.30%  Executor task l  [kernel.kallsyms]                   [k] sched_slice
     0.33%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] ext4_do_flush_completed_IO.isra.0
     0.33%     0.16%  Executor task l  [kernel.kallsyms]                   [k] balance_dirty_pages_ratelimited
     0.33%     0.21%  Executor task l  [kernel.kallsyms]                   [k] try_charge_memcg
     0.33%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] ext4_release_io_end
     0.33%     0.12%  kworker/u64:39-  [kernel.kallsyms]                   [k] ext4_finish_bio
     0.32%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] wb_do_writeback
     0.32%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] wb_workfn
     0.32%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] wb_writeback
     0.32%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] __writeback_inodes_wb
     0.32%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] writeback_sb_inodes
     0.32%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] do_writepages
     0.32%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] __writeback_single_inode
     0.32%     0.05%  Executor task l  [kernel.kallsyms]                   [k] load_balance
     0.32%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] ext4_writepages
     0.31%     0.04%  kswapd0          [kernel.kallsyms]                   [k] xas_store
     0.31%     0.03%  Executor task l  [kernel.kallsyms]                   [k] mark_buffer_dirty
     0.31%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __ext4_journal_stop
     0.31%     0.09%  Executor task l  [kernel.kallsyms]                   [k] enqueue_hrtimer
     0.31%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_page_copy
