# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 45K of event 'cycles'
# Event count (approx.): 5822082299052
#
# Children      Self  Command          Shared Object          Symbol                                        
# ........  ........  ...............  .....................  ..............................................
#
     0.66%     0.00%  postgres         [kernel.kallsyms]      [k] __x64_sys_sendto
     0.65%     0.01%  postgres         [kernel.kallsyms]      [k] __sys_sendto
     0.64%     0.01%  postgres         [kernel.kallsyms]      [k] ext4_readahead
     0.64%     0.00%  postgres         [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     0.64%     0.00%  postgres         [kernel.kallsyms]      [k] user_path_at_empty
     0.63%     0.02%  postgres         [kernel.kallsyms]      [k] ext4_mpage_readpages
     0.63%     0.03%  postgres         [kernel.kallsyms]      [k] dequeue_entity
     0.63%     0.03%  postgres         [kernel.kallsyms]      [k] do_epoll_wait
     0.62%     0.00%  postgres         [kernel.kallsyms]      [k] grab_cache_page_write_begin
     0.62%     0.47%  kswapd1          [kernel.kallsyms]      [k] count_shadow_nodes
     0.62%     0.00%  postgres         [kernel.kallsyms]      [k] sock_sendmsg
     0.62%     0.02%  kcompactd1       [kernel.kallsyms]      [k] remove_migration_pte
     0.61%     0.61%  postgres         libc.so.6              [.] __libc_pread
     0.60%     0.11%  postgres         [kernel.kallsyms]      [k] enqueue_task_fair
     0.60%     0.00%  postgres         [kernel.kallsyms]      [k] filename_lookup
     0.60%     0.00%  postgres         [kernel.kallsyms]      [k] path_lookupat
     0.59%     0.00%  swapper          [kernel.kallsyms]      [k] arch_call_rest_init
     0.59%     0.00%  swapper          [kernel.kallsyms]      [k] rest_init
     0.59%     0.00%  swapper          [kernel.kallsyms]      [k] start_kernel
     0.59%     0.00%  swapper          [kernel.kallsyms]      [k] x86_64_start_kernel
     0.59%     0.00%  swapper          [kernel.kallsyms]      [k] x86_64_start_reservations
     0.58%     0.00%  kswapd0          [kernel.kallsyms]      [k] kswapd
     0.58%     0.00%  kswapd0          [kernel.kallsyms]      [k] kthread
     0.58%     0.00%  kswapd0          [kernel.kallsyms]      [k] ret_from_fork
     0.57%     0.30%  postgres         [kernel.kallsyms]      [k] futex_wait_setup
     0.57%     0.00%  kswapd0          [kernel.kallsyms]      [k] balance_pgdat
     0.57%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_node
     0.56%     0.01%  postgres         [kernel.kallsyms]      [k] __x64_sys_openat
     0.55%     0.27%  postgres         [kernel.kallsyms]      [k] __activate_page
     0.53%     0.00%  postgres         [kernel.kallsyms]      [k] do_sys_openat2
     0.50%     0.06%  postgres         [kernel.kallsyms]      [k] get_futex_key
     0.49%     0.00%  postgres         [kernel.kallsyms]      [k] task_work_run
     0.49%     0.01%  postgres         [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.48%     0.48%  kcompactd0       [kernel.kallsyms]      [k] _raw_spin_lock
     0.48%     0.22%  postgres         [kernel.kallsyms]      [k] update_load_avg
     0.48%     0.47%  postgres         [kernel.kallsyms]      [k] psi_group_change
     0.48%     0.18%  postgres         [kernel.kallsyms]      [k] enqueue_entity
     0.47%     0.00%  kswapd1          [kernel.kallsyms]      [k] cgroup_rstat_flush_irqsafe
     0.47%     0.00%  kswapd1          [kernel.kallsyms]      [k] mem_cgroup_flush_stats
     0.47%     0.00%  postgres         [kernel.kallsyms]      [k] rw_verify_area
     0.47%     0.00%  postgres         [kernel.kallsyms]      [k] complete_walk
     0.46%     0.00%  postgres         [kernel.kallsyms]      [k] try_to_unlazy
     0.46%     0.00%  postgres         [kernel.kallsyms]      [k] ext4_map_blocks
     0.46%     0.44%  postgres         [kernel.kallsyms]      [k] xas_load
     0.46%     0.02%  postgres         [kernel.kallsyms]      [k] __alloc_pages
     0.46%     0.00%  postgres         [kernel.kallsyms]      [k] __legitimize_path
     0.45%     0.05%  kswapd1          [kernel.kallsyms]      [k] cgroup_rstat_flush_locked
     0.45%     0.00%  swapper          [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.45%     0.44%  postgres         [kernel.kallsyms]      [k] apparmor_file_permission
     0.45%     0.00%  swapper          [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.45%     0.19%  postgres         [kernel.kallsyms]      [k] update_curr
     0.44%     0.01%  postgres         [kernel.kallsyms]      [k] migrate_misplaced_page
     0.44%     0.00%  postgres         [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.44%     0.01%  postgres         [kernel.kallsyms]      [k] get_user_pages_fast
     0.44%     0.04%  swapper          [kernel.kallsyms]      [k] flush_smp_call_function_from_idle
     0.44%     0.44%  postgres         [kernel.kallsyms]      [k] lockref_get_not_dead
     0.44%     0.01%  postgres         [kernel.kallsyms]      [k] alloc_pages
     0.43%     0.00%  postgres         [kernel.kallsyms]      [k] sock_poll
     0.43%     0.43%  postgres         [kernel.kallsyms]      [k] unix_poll
     0.43%     0.00%  postgres         [kernel.kallsyms]      [k] irqentry_exit
     0.42%     0.00%  postgres         [kernel.kallsyms]      [k] irqentry_exit_to_user_mode
     0.42%     0.06%  postgres         [kernel.kallsyms]      [k] get_page_from_freelist
     0.42%     0.41%  postgres         [kernel.kallsyms]      [k] __free_one_page
     0.42%     0.18%  postgres         [kernel.kallsyms]      [k] internal_get_user_pages_fast
     0.41%     0.38%  postgres         [kernel.kallsyms]      [k] free_swap_cache
     0.41%     0.00%  postgres         [kernel.kallsyms]      [k] __x64_sys_recvfrom
     0.41%     0.00%  postgres         [kernel.kallsyms]      [k] __sys_recvfrom
