# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 468  of event 'cycles'
# Event count (approx.): 901508276685
#
# Children      Self  Command          Shared Object      Symbol                                 
# ........  ........  ...............  .................  .......................................
#
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] _raw_spin_lock
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] x86_pmu_enable
     0.02%     0.02%  postgres         [unknown]          [.] 0000000000000000
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] ext4_getattr
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_getattr
     0.02%     0.00%  perf             [kernel.kallsyms]  [k] native_write_msr
     0.02%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] down_read_trylock
     0.02%     0.02%  postgres         [kernel.kallsyms]  [k] security_inode_getattr
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     0.02%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] user_path_at_empty
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_futex
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_futex
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] native_irq_return_iret
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] remove_migration_pte
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] nmi_restore
     0.01%     0.01%  postgres         [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wake
     0.01%     0.01%  postgres         [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] kmem_cache_free
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] putname
     0.01%     0.01%  postgres         [kernel.kallsyms]  [k] __d_lookup_rcu
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] filename_lookup
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] lookup_fast
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] path_lookupat
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] walk_component
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unmap_page_range
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_exit
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_group_exit
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exit_mmap
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] mmput
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unmap_single_vma
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unmap_vmas
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] release_pages
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] tlb_flush_mmu
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] try_to_wake_up
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] wake_up_q
     0.01%     0.01%  postgres         [kernel.kallsyms]  [k] lockref_put_return
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] path_put
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] __free_one_page
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] free_pcppages_bulk
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] free_unref_page_list
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wait
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wait_setup
     0.01%     0.01%  tclsh8.6         libtcl8.6.so       [.] cmtreefree
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_page
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] move_to_new_page
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] copy_page
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] jbd2_journal_commit_transaction
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] kjournald2
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] mem_cgroup_update_lru_size
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] isolate_lru_page
     0.00%     0.00%  jbd2/nvme0n1p3-  [unknown]          [.] 0000000000000000
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] __getblk_gfp
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] __getblk_slow
