# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 261K of event 'cycles'
# Event count (approx.): 5041985941317
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.26%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.26%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.26%     0.24%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.25%     0.15%  swapper          [kernel.kallsyms]                   [k] update_load_avg
     0.25%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sk_page_frag_refill
     0.25%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_page_frag_refill
     0.25%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_finish_plug
     0.25%     0.00%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap
     0.25%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] handle_irq_event
     0.25%     0.02%  swapper          [kernel.kallsyms]                   [k] blk_update_request
     0.25%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_local_out
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_flush_plug_list
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.24%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] lru_cache_add
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] alloc_pages
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
     0.24%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __alloc_pages
     0.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] do_writev
     0.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.24%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_irq
     0.24%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] vfs_writev
