# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 12499422237346
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.27%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_slab
     0.27%     0.00%  kswapd0          [kernel.kallsyms]     [k] do_shrink_slab
     0.27%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.27%     0.25%  java             [kernel.kallsyms]     [k] task_numa_fault
     0.26%     0.00%  java             [kernel.kallsyms]     [k] try_to_free_pages
     0.26%     0.00%  java             [kernel.kallsyms]     [k] do_try_to_free_pages
     0.26%     0.02%  java             [kernel.kallsyms]     [k] remove_migration_pte
     0.26%     0.00%  java             [kernel.kallsyms]     [k] shrink_node
     0.26%     0.00%  VM Thread        [kernel.kallsyms]     [k] tlb_flush_mmu
     0.26%     0.00%  kworker/u97:11-  [kernel.kallsyms]     [k] worker_thread
     0.26%     0.00%  kworker/u97:11-  [kernel.kallsyms]     [k] kthread
     0.26%     0.00%  kworker/u97:11-  [kernel.kallsyms]     [k] ret_from_fork
