# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10769144996755
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
     0.56%     0.56%  mariadbd         [kernel.kallsyms]                                 [k] __restore_fpregs_from_fpstate
     0.56%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] read_events
     0.56%     0.55%  mariadbd         [kernel.kallsyms]                                 [k] _raw_spin_lock_irqsave
     0.55%     0.23%  swapper          [kernel.kallsyms]                                 [k] flush_smp_call_function_queue
     0.55%     0.42%  mariadbd         [kernel.kallsyms]                                 [k] ktime_get
     0.55%     0.01%  swapper          [kernel.kallsyms]                                 [k] amd_pmu_disable_all
     0.55%     0.54%  mariadbd         [kernel.kallsyms]                                 [k] copy_user_generic_string
     0.55%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] nvme_map_data
     0.54%     0.01%  swapper          [kernel.kallsyms]                                 [k] blk_mq_end_request
     0.54%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] lockless_pages_from_mm
     0.54%     0.04%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_restart_sched_tick
     0.53%     0.16%  swapper          [kernel.kallsyms]                                 [k] set_next_entity
     0.53%     0.53%  mariadbd         [kernel.kallsyms]                                 [k] update_cfs_group
     0.53%     0.09%  tclsh8.6         [kernel.kallsyms]                                 [k] kmem_cache_alloc_node
     0.53%     0.52%  mariadbd         [kernel.kallsyms]                                 [k] __update_load_avg_cfs_rq
     0.51%     0.51%  mariadbd         [kernel.kallsyms]                                 [k] cpuacct_charge
     0.50%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] ext4_es_insert_extent
     0.50%     0.08%  swapper          [kernel.kallsyms]                                 [k] finish_task_switch.isra.0
     0.50%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] irqentry_exit_to_user_mode
     0.49%     0.12%  mariadbd         [kernel.kallsyms]                                 [k] wake_affine_weight
     0.48%     0.03%  swapper          [kernel.kallsyms]                                 [k] blk_update_request
     0.48%     0.14%  mariadbd         [kernel.kallsyms]                                 [k] gup_pgd_range
     0.48%     0.44%  swapper          [kernel.kallsyms]                                 [k] _raw_spin_lock
     0.47%     0.40%  mariadbd         [kernel.kallsyms]                                 [k] xas_load
     0.46%     0.31%  mariadbd         [kernel.kallsyms]                                 [k] kfree
     0.46%     0.16%  mariadbd         [kernel.kallsyms]                                 [k] set_task_cpu
     0.45%     0.09%  tclsh8.6         [kernel.kallsyms]                                 [k] skb_release_data
     0.45%     0.01%  swapper          [kernel.kallsyms]                                 [k] _nohz_idle_balance.constprop.0.isra.0
     0.44%     0.44%  mariadbd         libpthread-2.28.so                                [.] __lll_lock_wait
     0.43%     0.43%  mariadbd         libpthread-2.28.so                                [.] __pthread_mutex_lock
     0.42%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __softirqentry_text_start
     0.42%     0.06%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_idle_enter
