# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7164435269843
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.99%     0.00%  java             [kernel.kallsyms]         [k] task_work_run
     0.99%     0.00%  java             [kernel.kallsyms]         [k] task_numa_work
     0.98%     0.00%  java             [kernel.kallsyms]         [k] change_prot_numa
     0.97%     0.83%  java             [kernel.kallsyms]         [k] cgroup_rstat_updated
     0.93%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_futex
     0.91%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_futex
     0.91%     0.91%  java             [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.90%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] asm_exc_page_fault
     0.89%     0.83%  java             [kernel.kallsyms]         [k] change_protection
     0.86%     0.04%  java             [kernel.kallsyms]         [k] find_vma
     0.86%     0.39%  java             [kernel.kallsyms]         [k] __count_memcg_events
     0.86%     0.06%  java             [kernel.kallsyms]         [k] mem_cgroup_migrate
     0.85%     0.01%  java             [kernel.kallsyms]         [k] tick_sched_timer
     0.84%     0.83%  java             [kernel.kallsyms]         [k] vmacache_find
     0.82%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_block_write_begin
     0.82%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] lru_cache_add_inactive_or_unevictable
     0.81%     0.06%  kswapd1          [kernel.kallsyms]         [k] shrink_page_list
     0.81%     0.79%  kcompactd1       [kernel.kallsyms]         [k] isolate_freepages_block
     0.79%     0.05%  java             [kernel.kallsyms]         [k] lock_page_lruvec_irq
     0.79%     0.07%  java             [kernel.kallsyms]         [k] update_process_times
     0.78%     0.61%  LocalJobRunner   [kernel.kallsyms]         [k] try_charge_memcg
     0.78%     0.00%  java             [kernel.kallsyms]         [k] tick_sched_handle
     0.75%     0.72%  java             [kernel.kallsyms]         [k] page_vma_mapped_walk
     0.75%     0.00%  VM Thread        [kernel.kallsyms]         [k] tlb_flush_mmu
     0.75%     0.63%  LocalJobRunner   [kernel.kallsyms]         [k] rmqueue_bulk
     0.75%     0.01%  VM Thread        [kernel.kallsyms]         [k] asm_exc_page_fault
     0.75%     0.10%  java             [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.73%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     0.73%     0.00%  java             [kernel.kallsyms]         [k] __mem_cgroup_uncharge
     0.72%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.72%     0.65%  java             [kernel.kallsyms]         [k] page_counter_charge
     0.71%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] hrtimer_interrupt
     0.71%     0.36%  java             [kernel.kallsyms]         [k] numa_migrate_prep
     0.70%     0.11%  java             [kernel.kallsyms]         [k] __mem_cgroup_charge
     0.69%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_sync_ra
     0.68%     0.00%  VM Thread        [kernel.kallsyms]         [k] free_pages_and_swap_cache
     0.67%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] exc_page_fault
     0.67%     0.57%  LocalJobRunner   [kernel.kallsyms]         [k] get_mem_cgroup_from_mm
     0.67%     0.11%  java             [kernel.kallsyms]         [k] pick_next_task_fair
     0.67%     0.09%  VM Thread        [kernel.kallsyms]         [k] release_pages
     0.66%     0.01%  VM Thread        [kernel.kallsyms]         [k] exc_page_fault
     0.66%     0.66%  java             libc.so.6                 [.] 0x00000000001b2383
     0.66%     0.06%  java             [kernel.kallsyms]         [k] uncharge_batch
     0.63%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] do_user_addr_fault
     0.62%     0.06%  java             [kernel.kallsyms]         [k] remove_migration_pte
     0.62%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] __hrtimer_run_queues
     0.62%     0.02%  VM Thread        [kernel.kallsyms]         [k] do_user_addr_fault
     0.60%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] move_to_new_page
     0.60%     0.00%  kswapd0          [kernel.kallsyms]         [k] kswapd
     0.60%     0.00%  kswapd0          [kernel.kallsyms]         [k] kthread
     0.60%     0.00%  kswapd0          [kernel.kallsyms]         [k] ret_from_fork
     0.60%     0.00%  kswapd0          [kernel.kallsyms]         [k] balance_pgdat
     0.60%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_node
     0.60%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_page
     0.59%     0.59%  LocalJobRunner   [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.59%     0.45%  java             [kernel.kallsyms]         [k] _raw_spin_lock
     0.58%     0.02%  VM Thread        [kernel.kallsyms]         [k] handle_mm_fault
     0.57%     0.55%  java             [kernel.kallsyms]         [k] task_numa_fault
     0.57%     0.15%  LocalJobRunner   [kernel.kallsyms]         [k] balance_dirty_pages_ratelimited
     0.55%     0.01%  java             [kernel.kallsyms]         [k] page_counter_uncharge
     0.55%     0.02%  java             [kernel.kallsyms]         [k] scheduler_tick
     0.54%     0.01%  Sampler Reader   [kernel.kallsyms]         [k] handle_mm_fault
     0.54%     0.40%  LocalJobRunner   [kernel.kallsyms]         [k] _raw_spin_lock
     0.54%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] tick_sched_timer
     0.52%     0.21%  LocalJobRunner   [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.52%     0.12%  VM Thread        [kernel.kallsyms]         [k] __handle_mm_fault
     0.51%     0.50%  LocalJobRunner   [kernel.kallsyms]         [k] __ptep_modify_prot_start
     0.51%     0.04%  Sampler Reader   [kernel.kallsyms]         [k] __handle_mm_fault
     0.51%     0.45%  java             [kernel.kallsyms]         [k] page_counter_cancel
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] kthread
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] ret_from_fork
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] worker_thread
     0.51%     0.00%  kworker/u98:2-w  [kernel.kallsyms]         [k] process_one_work
