# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3361217828671
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     0.58%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] ret_from_fork
     0.58%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] kthread
     0.58%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] ret_from_fork
     0.58%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] worker_thread
     0.58%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] compact_zone
     0.57%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] process_one_work
     0.57%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] migrate_pages
     0.57%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] unmap_and_move
     0.56%     0.55%  Executor task l  [kernel.kallsyms]                                 [k] cgroup_rstat_updated
     0.56%     0.56%  Executor task l  [kernel.kallsyms]                                 [k] hrtimer_active
     0.54%     0.53%  Executor task l  [kernel.kallsyms]                                 [k] memset
     0.54%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] proactive_compact_node
     0.54%     0.30%  Executor task l  [kernel.kallsyms]                                 [k] irqtime_account_irq
     0.54%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_journal_start_sb
     0.53%     0.53%  Executor task l  [kernel.kallsyms]                                 [k] update_cfs_group
     0.53%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_end_request
     0.52%     0.51%  Executor task l  [kernel.kallsyms]                                 [k] xas_start
     0.51%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_node
     0.51%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] do_try_to_free_pages
     0.51%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_zones
     0.51%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] try_to_free_pages
     0.51%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_node_memcgs
     0.51%     0.14%  Executor task l  [kernel.kallsyms]                                 [k] amd_pmu_wait_on_overflow
     0.50%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_lruvec
     0.50%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] file_update_time
     0.49%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] shrink_inactive_list
     0.48%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] xa_load
     0.48%     0.46%  Executor task l  [kernel.kallsyms]                                 [k] get_mem_cgroup_from_mm
