# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11311597024933
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.35%     0.25%  swapper          [kernel.kallsyms]  [k] update_blocked_averages
     0.35%     0.01%  postgres         [kernel.kallsyms]  [k] pollwake
     0.35%     0.03%  postgres         [kernel.kallsyms]  [k] update_process_times
     0.34%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_handle
     0.34%     0.34%  postgres         [unknown]          [.] 0000000000000000
     0.34%     0.14%  postgres         [kernel.kallsyms]  [k] kmem_cache_alloc
     0.34%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     0.34%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     0.34%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     0.34%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     0.34%     0.01%  postgres         [kernel.kallsyms]  [k] task_numa_work
     0.34%     0.00%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     0.33%     0.11%  postgres         [kernel.kallsyms]  [k] mark_buffer_dirty
     0.33%     0.00%  postgres         [kernel.kallsyms]  [k] mpage_submit_page
     0.33%     0.08%  postgres         [kernel.kallsyms]  [k] do_set_pte
     0.32%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up
     0.32%     0.01%  postgres         [kernel.kallsyms]  [k] blk_flush_plug_list
     0.32%     0.01%  postgres         [kernel.kallsyms]  [k] blk_mq_flush_plug_list
     0.31%     0.02%  postgres         [kernel.kallsyms]  [k] load_balance
     0.31%     0.03%  postgres         [kernel.kallsyms]  [k] __mark_inode_dirty
     0.31%     0.04%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     0.31%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] autoremove_wake_function
     0.31%     0.03%  postgres         [kernel.kallsyms]  [k] blk_mq_submit_bio
     0.31%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] default_wake_function
     0.31%     0.01%  postgres         [kernel.kallsyms]  [k] blk_mq_sched_insert_requests
     0.31%     0.00%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk
     0.30%     0.02%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.30%     0.01%  postgres         [kernel.kallsyms]  [k] blk_finish_plug
     0.30%     0.04%  postgres         [kernel.kallsyms]  [k] create_empty_buffers
     0.30%     0.01%  postgres         [kernel.kallsyms]  [k] blk_mq_try_issue_list_directly
     0.30%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_recvfrom
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] __sys_recvfrom
     0.29%     0.01%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk_file
     0.29%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_recvfrom
     0.29%     0.04%  postgres         [kernel.kallsyms]  [k] mpage_process_page_bufs
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.28%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_recvfrom
     0.28%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_dirty_inode
     0.28%     0.08%  swapper          [kernel.kallsyms]  [k] enqueue_entity
     0.28%     0.03%  swapper          [kernel.kallsyms]  [k] pick_next_task_fair
     0.28%     0.00%  postgres         [kernel.kallsyms]  [k] change_prot_numa
     0.28%     0.01%  postgres         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.28%     0.01%  postgres         [kernel.kallsyms]  [k] __blk_mq_try_issue_directly
     0.28%     0.27%  postgres         [kernel.kallsyms]  [k] __fget_light
     0.27%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     0.27%     0.03%  kcompactd0       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.27%     0.00%  postgres         [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.27%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_recvmsg
     0.27%     0.01%  postgres         [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] kthread
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] ret_from_fork
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] worker_thread
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] process_one_work
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] wb_workfn
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] wb_writeback
     0.27%     0.02%  kswapd0          [kernel.kallsyms]  [k] __remove_mapping
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] __writeback_single_inode
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] do_writepages
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.27%     0.00%  kworker/u97:7-e  [kernel.kallsyms]  [k] ext4_writepages
     0.27%     0.26%  postgres         [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.26%     0.07%  postgres         [kernel.kallsyms]  [k] nvme_queue_rq
     0.26%     0.02%  postgres         [kernel.kallsyms]  [k] alloc_page_buffers
     0.26%     0.01%  kworker/u97:7-e  [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.26%     0.19%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.26%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_call_function_single
     0.26%     0.00%  postgres         [kernel.kallsyms]  [k] sock_recvmsg
     0.26%     0.24%  postgres         [kernel.kallsyms]  [k] change_protection
     0.26%     0.00%  kswapd1          [kernel.kallsyms]  [k] __walk_page_range
     0.26%     0.00%  kswapd1          [kernel.kallsyms]  [k] try_to_inc_max_seq
     0.26%     0.00%  kswapd1          [kernel.kallsyms]  [k] walk_page_range
     0.25%     0.07%  postgres         [kernel.kallsyms]  [k] set_task_cpu
     0.25%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_recvmsg
     0.25%     0.14%  swapper          [kernel.kallsyms]  [k] update_load_avg
     0.25%     0.25%  postgres         [kernel.kallsyms]  [k] update_cfs_rq_h_load
