# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3368333798041
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                             
# ........  ........  ...............  ..................................  ...................................................................................................................................................................................................................
#
     0.30%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ptep_clear_flush
     0.30%     0.08%  Executor task l  [kernel.kallsyms]                   [k] ext4_inode_csum
     0.30%     0.01%  Executor task l  [kernel.kallsyms]                   [k] schedule
     0.30%     0.30%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable
     0.30%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __ext4_get_inode_loc
     0.30%     0.03%  kswapd0          [kernel.kallsyms]                   [k] free_pcppages_bulk
     0.29%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __schedule
     0.29%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] wb_check_old_data_flush
     0.29%     0.29%  Executor task l  [kernel.kallsyms]                   [k] tick_program_event
     0.29%     0.13%  Executor task l  [kernel.kallsyms]                   [k] jbd2_journal_stop
     0.29%     0.06%  Executor task l  [kernel.kallsyms]                   [k] syscall_exit_work
     0.29%     0.26%  Executor task l  [kernel.kallsyms]                   [k] timerqueue_add
     0.28%     0.28%  Executor task l  [kernel.kallsyms]                   [k] cpuacct_charge
     0.28%     0.16%  kcompactd0       [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.28%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.28%     0.10%  Executor task l  [kernel.kallsyms]                   [k] xas_create
     0.28%     0.00%  kworker/u64:35-  [kernel.kallsyms]                   [k] worker_thread
     0.28%     0.00%  kworker/u64:35-  [kernel.kallsyms]                   [k] kthread
     0.28%     0.00%  kworker/u64:35-  [kernel.kallsyms]                   [k] ret_from_fork
     0.27%     0.27%  Executor task l  [kernel.kallsyms]                   [k] __const_udelay
     0.27%     0.00%  kworker/u64:35-  [kernel.kallsyms]                   [k] process_one_work
     0.27%     0.07%  Executor task l  [kernel.kallsyms]                   [k] error_entry
     0.27%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] mpage_map_and_submit_extent
     0.26%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] ext4_do_flush_completed_IO.isra.0
     0.26%     0.00%  kworker/u64:37-  [kernel.kallsyms]                   [k] ext4_release_io_end
     0.26%     0.10%  kworker/u64:37-  [kernel.kallsyms]                   [k] ext4_finish_bio
     0.26%     0.02%  swapper          [kernel.kallsyms]                   [k] asm_sysvec_call_function_single
     0.26%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __mod_lruvec_state
     0.26%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] move_to_new_page
     0.26%     0.26%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_addr_offset
     0.25%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] mpage_map_and_submit_buffers
     0.25%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __set_page_dirty
     0.25%     0.13%  Executor task l  [kernel.kallsyms]                   [k] __cond_resched
