# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10497091417354
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                                                          
# ........  ........  ...............  .......................  ................................................................................................................................................................................
#
     0.99%     0.14%  tclsh8.6         [kernel.kallsyms]        [k] __schedule
     0.99%     0.01%  swapper          [kernel.kallsyms]        [k] __common_interrupt
     0.99%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.98%     0.02%  swapper          [kernel.kallsyms]        [k] handle_edge_irq
     0.97%     0.03%  mariadbd         [kernel.kallsyms]        [k] __blk_mq_try_issue_directly
     0.97%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] alloc_skb_with_frags
     0.96%     0.07%  tclsh8.6         [kernel.kallsyms]        [k] pollwake
     0.93%     0.21%  swapper          [kernel.kallsyms]        [k] pick_next_task_fair
     0.93%     0.01%  swapper          [kernel.kallsyms]        [k] __softirqentry_text_start
     0.93%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] try_to_wake_up
     0.92%     0.01%  swapper          [kernel.kallsyms]        [k] handle_irq_event
     0.92%     0.09%  mariadbd         [kernel.kallsyms]        [k] nvme_queue_rq
     0.91%     0.06%  tclsh8.6         [kernel.kallsyms]        [k] __alloc_skb
     0.89%     0.03%  mariadbd         [kernel.kallsyms]        [k] find_busiest_group
     0.88%     0.02%  swapper          [kernel.kallsyms]        [k] __handle_irq_event_percpu
     0.87%     0.03%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_stop_tick
     0.87%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_call_function_single
     0.87%     0.01%  swapper          [kernel.kallsyms]        [k] nvme_irq
     0.87%     0.02%  mariadbd         [kernel.kallsyms]        [k] __submit_bio_noacct_mq
     0.86%     0.00%  swapper          [kernel.kallsyms]        [k] tick_sched_handle
     0.86%     0.04%  swapper          [kernel.kallsyms]        [k] update_process_times
     0.86%     0.58%  mariadbd         [kernel.kallsyms]        [k] finish_task_switch.isra.0
     0.86%     0.07%  swapper          [kernel.kallsyms]        [k] nvme_process_cq
     0.85%     0.06%  mariadbd         [kernel.kallsyms]        [k] update_sd_lb_stats.constprop.0
     0.85%     0.04%  mariadbd         [kernel.kallsyms]        [k] ext4_map_blocks
     0.83%     0.02%  mariadbd         [kernel.kallsyms]        [k] wake_affine
     0.83%     0.05%  mariadbd         [kernel.kallsyms]        [k] blk_mq_submit_bio
     0.83%     0.01%  mariadbd         [kernel.kallsyms]        [k] bio_iov_iter_get_pages
     0.82%     0.44%  swapper          [kernel.kallsyms]        [k] ktime_get
     0.82%     0.03%  mariadbd         [kernel.kallsyms]        [k] __bio_iov_iter_get_pages
     0.81%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] consume_skb
     0.80%     0.00%  mariadbd         [kernel.kallsyms]        [k] __sysvec_call_function_single
     0.80%     0.06%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_exit
     0.80%     0.20%  mariadbd         [kernel.kallsyms]        [k] switch_fpu_return
     0.78%     0.62%  mariadbd         [kernel.kallsyms]        [k] update_sg_lb_stats
     0.76%     0.03%  mariadbd         [kernel.kallsyms]        [k] ext4_iomap_begin
     0.76%     0.03%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_end_io
     0.75%     0.01%  swapper          [kernel.kallsyms]        [k] scheduler_tick
     0.73%     0.04%  mariadbd         [kernel.kallsyms]        [k] sched_ttwu_pending
     0.70%     0.04%  swapper          [kernel.kallsyms]        [k] hrtimer_start_range_ns
     0.69%     0.06%  mariadbd         [kernel.kallsyms]        [k] exit_to_user_mode_loop
     0.68%     0.39%  mariadbd         [kernel.kallsyms]        [k] x86_pmu_disable_all
     0.64%     0.02%  swapper          [kernel.kallsyms]        [k] perf_event_task_tick
     0.64%     0.13%  mariadbd         [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.63%     0.02%  mariadbd         [kernel.kallsyms]        [k] consume_skb
     0.63%     0.16%  swapper          [kernel.kallsyms]        [k] tick_nohz_next_event
