# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11391823713556
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.57%     0.01%  java             [kernel.kallsyms]   [k] schedule
     0.57%     0.02%  InMemoryMerger   [kernel.kallsyms]   [k] __mark_inode_dirty
     0.56%     0.11%  java             [kernel.kallsyms]   [k] __schedule
     0.55%     0.55%  swapper          [unknown]           [.] 0000000000000000
     0.55%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_dirty_inode
     0.54%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages_vma
     0.54%     0.03%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_block_write_begin
     0.54%     0.51%  LocalJobRunner   [kernel.kallsyms]   [k] __ptep_modify_prot_start
     0.53%     0.11%  java             [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.52%     0.52%  pool-4-thread-1  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.51%     0.22%  LocalJobRunner   [kernel.kallsyms]   [k] __pagevec_lru_add
     0.51%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] __ext4_mark_inode_dirty
     0.51%     0.08%  java             [kernel.kallsyms]   [k] __mem_cgroup_charge
     0.50%     0.01%  java             [kernel.kallsyms]   [k] __sysvec_apic_timer_interrupt
     0.49%     0.01%  java             [kernel.kallsyms]   [k] hrtimer_interrupt
     0.49%     0.40%  LocalJobRunner   [kernel.kallsyms]   [k] try_charge_memcg
     0.48%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_end
     0.47%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] generic_write_end
     0.46%     0.11%  java             [kernel.kallsyms]   [k] try_to_migrate_one
     0.45%     0.01%  java             [kernel.kallsyms]   [k] irqentry_exit
     0.44%     0.44%  InMemoryMerger   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.44%     0.03%  java             [kernel.kallsyms]   [k] isolate_lru_page
     0.44%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] exc_page_fault
     0.43%     0.04%  java             [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.43%     0.01%  java             [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     0.43%     0.00%  java             [kernel.kallsyms]   [k] __put_page
     0.41%     0.00%  java             [kernel.kallsyms]   [k] alloc_misplaced_dst_page
     0.41%     0.00%  VM Thread        [kernel.kallsyms]   [k] tlb_flush_mmu
     0.41%     0.41%  localfetcher#1   [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.41%     0.03%  kswapd1          [kernel.kallsyms]   [k] __remove_mapping
     0.41%     0.01%  java             [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.41%     0.00%  Sampler Reader   [kernel.kallsyms]   [k] do_user_addr_fault
     0.40%     0.05%  localfetcher#1   [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.39%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_get_pages
     0.39%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] lru_cache_add_inactive_or_unevictable
     0.39%     0.18%  java             [kernel.kallsyms]   [k] numa_migrate_prep
     0.39%     0.01%  java             [kernel.kallsyms]   [k] migrate_page_copy
     0.39%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] alloc_pages
     0.39%     0.03%  kworker/u96:1-e  [kernel.kallsyms]   [k] end_page_writeback
     0.38%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] __alloc_pages
     0.38%     0.05%  java             [kernel.kallsyms]   [k] migrate_page_states
     0.38%     0.00%  VM Thread        [kernel.kallsyms]   [k] free_pages_and_swap_cache
     0.37%     0.01%  VM Thread        [kernel.kallsyms]   [k] asm_exc_page_fault
     0.37%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] asm_exc_page_fault
     0.37%     0.06%  VM Thread        [kernel.kallsyms]   [k] release_pages
     0.36%     0.06%  pool-4-thread-1  [kernel.kallsyms]   [k] get_page_from_freelist
     0.36%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] move_to_new_page
     0.36%     0.07%  localfetcher#1   [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.36%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] kthread
     0.36%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] ret_from_fork
     0.36%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] worker_thread
     0.36%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] process_one_work
     0.36%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] migrate_page
     0.35%     0.00%  java             [kernel.kallsyms]   [k] tick_sched_timer
     0.35%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] wb_workfn
     0.35%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] wb_writeback
     0.35%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] __writeback_single_inode
     0.35%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] __writeback_inodes_wb
     0.35%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] writeback_sb_inodes
     0.35%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] do_writepages
     0.35%     0.03%  kworker/u97:13-  [kernel.kallsyms]   [k] ext4_writepages
     0.35%     0.01%  Sampler Reader   [kernel.kallsyms]   [k] handle_mm_fault
     0.35%     0.28%  LocalJobRunner   [kernel.kallsyms]   [k] rmqueue_bulk
     0.34%     0.09%  kworker/u96:1-e  [kernel.kallsyms]   [k] test_clear_page_writeback
     0.34%     0.02%  InMemoryMerger   [kernel.kallsyms]   [k] __alloc_pages
     0.33%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] alloc_pages
     0.33%     0.03%  java             [kernel.kallsyms]   [k] update_process_times
     0.33%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] __mark_inode_dirty
     0.33%     0.09%  java             [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.33%     0.27%  LocalJobRunner   [kernel.kallsyms]   [k] get_mem_cgroup_from_mm
