# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 185956807552
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................................................................
#
     0.86%     0.26%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     0.86%     0.68%  swapper          [kernel.kallsyms]    [k] switch_mm_irqs_off
     0.85%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.84%     0.01%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     0.84%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     0.84%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.84%     0.00%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     0.83%     0.01%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     0.83%     0.05%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     0.83%     0.01%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     0.82%     0.82%  mariadbd         [kernel.kallsyms]    [k] __default_send_IPI_dest_field
     0.82%     0.03%  mariadbd         [kernel.kallsyms]    [k] swap_readpage
     0.82%     0.01%  mariadbd         [kernel.kallsyms]    [k] __get_user_pages
     0.82%     0.00%  mariadbd         [kernel.kallsyms]    [k] get_user_pages_unlocked
     0.81%     0.37%  swapper          [kernel.kallsyms]    [k] update_load_avg
     0.81%     0.40%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.80%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.80%     0.65%  mariadbd         [kernel.kallsyms]    [k] xas_load
     0.78%     0.15%  mariadbd         [kernel.kallsyms]    [k] switch_fpu_return
     0.78%     0.78%  mariadbd         [kernel.kallsyms]    [k] available_idle_cpu
     0.78%     0.00%  kswapd0          [kernel.kallsyms]    [k] arch_tlbbatch_flush
     0.77%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] pollwake
     0.77%     0.01%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     0.76%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function_single
     0.76%     0.00%  kswapd0          [kernel.kallsyms]    [k] try_to_unmap_flush_dirty
     0.76%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.74%     0.28%  kswapd0          [kernel.kallsyms]    [k] smp_call_function_many_cond
     0.74%     0.00%  kswapd0          [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     0.74%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] alloc_skb_with_frags
     0.74%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] futex_wake
     0.74%     0.15%  swapper          [kernel.kallsyms]    [k] pick_next_task_fair
     0.73%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_stop_tick
     0.73%     0.08%  swapper          [kernel.kallsyms]    [k] update_process_times
     0.73%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     0.72%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] __alloc_skb
     0.72%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sysvec_call_function_single
     0.70%     0.35%  swapper          [kernel.kallsyms]    [k] ktime_get
     0.70%     0.10%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_loop
     0.69%     0.02%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_mask_sequence_phys
     0.69%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.67%     0.41%  mariadbd         [kernel.kallsyms]    [k] finish_task_switch.isra.0
     0.66%     0.02%  mariadbd         [kernel.kallsyms]    [k] do_io_getevents
     0.66%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_getevents
     0.65%     0.04%  swapper          [kernel.kallsyms]    [k] blk_update_request
     0.64%     0.64%  mariadbd         [kernel.kallsyms]    [k] __restore_fpregs_from_fpstate
     0.63%     0.06%  mariadbd         [kernel.kallsyms]    [k] sched_ttwu_pending
     0.62%     0.04%  swapper          [kernel.kallsyms]    [k] hrtimer_start_range_ns
     0.61%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_exit
     0.59%     0.05%  mariadbd         [kernel.kallsyms]    [k] mapping_get_entry
     0.59%     0.00%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.59%     0.01%  mariadbd         [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.58%     0.01%  mariadbd         [kernel.kallsyms]    [k] read_events
     0.58%     0.06%  mariadbd         [kernel.kallsyms]    [k] __softirqentry_text_start
     0.57%     0.57%  swapper          [kernel.kallsyms]    [k] get_typical_interval
     0.56%     0.31%  mariadbd         [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.56%     0.01%  mariadbd         [kernel.kallsyms]    [k] wake_affine
     0.56%     0.54%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.55%     0.06%  mariadbd         [kernel.kallsyms]    [k] nvme_map_data
     0.54%     0.04%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function
     0.54%     0.50%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_se
     0.54%     0.35%  mariadbd         [kernel.kallsyms]    [k] ktime_get
     0.53%     0.07%  mariadbd         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.52%     0.09%  mariadbd         [kernel.kallsyms]    [k] task_tick_fair
