# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 615K of event 'cycles'
# Event count (approx.): 8738153727476
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     1.08%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     1.06%     1.06%  LocalJobRunner   [kernel.kallsyms]   [k] mem_cgroup_css_rstat_flush
     1.05%     0.10%  kswapd0          [kernel.kallsyms]   [k] shrink_page_list
     1.05%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] do_user_addr_fault
     1.03%     0.01%  java             [kernel.kallsyms]   [k] __x64_sys_sched_yield
     1.00%     0.28%  java             [kernel.kallsyms]   [k] __count_memcg_events
     1.00%     0.04%  java             [kernel.kallsyms]   [k] do_sched_yield
     0.99%     0.63%  localfetcher#1   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.99%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] handle_mm_fault
     0.96%     0.05%  java             [kernel.kallsyms]   [k] migrate_misplaced_page
     0.95%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] asm_exc_page_fault
     0.93%     0.03%  pool-4-thread-1  [kernel.kallsyms]   [k] __mark_inode_dirty
     0.93%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.92%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] __alloc_pages
     0.92%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] exc_page_fault
     0.91%     0.01%  java             [kernel.kallsyms]   [k] find_vma
     0.91%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] alloc_pages
     0.90%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_dirty_inode
     0.90%     0.90%  java             [kernel.kallsyms]   [k] vmacache_find
     0.90%     0.89%  java             [kernel.kallsyms]   [k] sync_regs
     0.89%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] do_user_addr_fault
     0.89%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] irqentry_exit
     0.88%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] irqentry_exit_to_user_mode
     0.87%     0.13%  pool-4-thread-1  [kernel.kallsyms]   [k] get_page_from_freelist
     0.87%     0.00%  kcompactd0       [kernel.kallsyms]   [k] kthread
     0.87%     0.00%  kcompactd0       [kernel.kallsyms]   [k] ret_from_fork
     0.87%     0.00%  kcompactd0       [kernel.kallsyms]   [k] kcompactd
     0.87%     0.00%  kcompactd0       [kernel.kallsyms]   [k] compact_zone
     0.87%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] handle_mm_fault
     0.87%     0.00%  kcompactd0       [kernel.kallsyms]   [k] proactive_compact_node
     0.85%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] task_work_run
     0.85%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] task_numa_work
     0.85%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] change_prot_numa
     0.84%     0.08%  localfetcher#1   [kernel.kallsyms]   [k] __mem_cgroup_charge
     0.82%     0.01%  kcompactd0       [kernel.kallsyms]   [k] migrate_pages
     0.81%     0.07%  java             [kernel.kallsyms]   [k] migrate_pages
     0.77%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] alloc_pages_vma
     0.77%     0.01%  java             [kernel.kallsyms]   [k] schedule
     0.77%     0.74%  LocalJobRunner   [kernel.kallsyms]   [k] change_protection
     0.76%     0.07%  InMemoryMerger   [kernel.kallsyms]   [k] __handle_mm_fault
     0.75%     0.19%  java             [kernel.kallsyms]   [k] __schedule
     0.74%     0.07%  InMemoryMerger   [kernel.kallsyms]   [k] add_to_page_cache_lru
     0.73%     0.16%  pool-4-thread-1  [kernel.kallsyms]   [k] __handle_mm_fault
     0.71%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_da_write_end
     0.69%     0.05%  LocalJobRunner   [kernel.kallsyms]   [k] generic_write_end
     0.69%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] worker_thread
     0.69%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] kthread
     0.69%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] ret_from_fork
     0.68%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] process_one_work
     0.68%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] ext4_end_io_rsv_work
     0.68%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] __alloc_pages
     0.68%     0.68%  swapper          [unknown]           [.] 0000000000000000
     0.68%     0.00%  kworker/u96:0-e  [kernel.kallsyms]   [k] ext4_release_io_end
     0.67%     0.14%  kworker/u96:0-e  [kernel.kallsyms]   [k] ext4_finish_bio
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] kthread
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] ret_from_fork
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] worker_thread
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] process_one_work
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] wb_workfn
     0.66%     0.01%  java             [kernel.kallsyms]   [k] __sysvec_apic_timer_interrupt
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] wb_writeback
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] writeback_sb_inodes
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] __writeback_inodes_wb
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] __writeback_single_inode
     0.66%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] do_writepages
     0.66%     0.05%  kworker/u98:4-f  [kernel.kallsyms]   [k] ext4_writepages
     0.66%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] alloc_pages
     0.65%     0.02%  java             [kernel.kallsyms]   [k] hrtimer_interrupt
     0.64%     0.62%  pool-4-thread-1  [kernel.kallsyms]   [k] _raw_spin_lock
     0.63%     0.05%  LocalJobRunner   [kernel.kallsyms]   [k] get_page_from_freelist
     0.63%     0.22%  localfetcher#1   [kernel.kallsyms]   [k] charge_memcg
     0.62%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] asm_exc_page_fault
     0.61%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     0.61%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_block_write_begin
     0.61%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] __x64_sys_futex
     0.61%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_da_write_end
     0.60%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] do_futex
     0.60%     0.00%  java             [kernel.kallsyms]   [k] syscall_exit_to_user_mode
     0.60%     0.41%  InMemoryMerger   [kernel.kallsyms]   [k] __add_to_page_cache_locked
     0.59%     0.03%  InMemoryMerger   [kernel.kallsyms]   [k] generic_write_end
