# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 596434766724
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                      
# ........  ........  ...............  .......................  ............................................................................................................................................
#
     0.81%     0.68%  mariadbd         [kernel.kallsyms]        [k] ext4_es_lookup_extent
     0.81%     0.00%  swapper          [kernel.kallsyms]        [k] tick_sched_handle
     0.81%     0.04%  swapper          [kernel.kallsyms]        [k] update_process_times
     0.81%     0.81%  mariadbd         [kernel.kallsyms]        [k] __default_send_IPI_dest_field
     0.80%     0.03%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_call_function_single
     0.80%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.79%     0.06%  tclsh8.6         [kernel.kallsyms]        [k] alloc_skb_with_frags
     0.79%     0.00%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_submit_bio
     0.78%     0.06%  mariadbd         [kernel.kallsyms]        [k] __alloc_skb
     0.77%     0.04%  swapper          [kernel.kallsyms]        [k] tick_nohz_stop_tick
     0.77%     0.41%  swapper          [kernel.kallsyms]        [k] ktime_get
     0.75%     0.17%  swapper          [kernel.kallsyms]        [k] pick_next_task_fair
     0.74%     0.04%  swapper          [kernel.kallsyms]        [k] blk_update_request
     0.74%     0.06%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_exit
     0.74%     0.57%  swapper          [kernel.kallsyms]        [k] switch_mm_irqs_off
     0.73%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] __alloc_skb
     0.73%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common_lock
     0.72%     0.06%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common
     0.71%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] try_to_wake_up
     0.71%     0.00%  kswapd0          [kernel.kallsyms]        [k] arch_tlbbatch_flush
     0.71%     0.00%  kswapd0          [kernel.kallsyms]        [k] try_to_unmap_flush_dirty
     0.70%     0.07%  mariadbd         [kernel.kallsyms]        [k] mapping_get_entry
     0.70%     0.01%  mariadbd         [kernel.kallsyms]        [k] wake_affine
     0.69%     0.01%  swapper          [kernel.kallsyms]        [k] scheduler_tick
     0.68%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_def_readable
     0.68%     0.04%  swapper          [kernel.kallsyms]        [k] hrtimer_start_range_ns
     0.67%     0.44%  mariadbd         [kernel.kallsyms]        [k] finish_task_switch.isra.0
     0.64%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] pollwake
     0.63%     0.24%  kswapd0          [kernel.kallsyms]        [k] smp_call_function_many_cond
     0.63%     0.00%  kswapd0          [kernel.kallsyms]        [k] on_each_cpu_cond_mask
     0.63%     0.13%  mariadbd         [kernel.kallsyms]        [k] switch_fpu_return
     0.63%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_call_function_single
     0.62%     0.36%  mariadbd         [kernel.kallsyms]        [k] x86_pmu_disable_all
     0.62%     0.02%  mariadbd         [kernel.kallsyms]        [k] default_send_IPI_mask_sequence_phys
     0.60%     0.01%  swapper          [kernel.kallsyms]        [k] perf_event_task_tick
     0.60%     0.03%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_end_io
     0.59%     0.05%  swapper          [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     0.59%     0.00%  mariadbd         [kernel.kallsyms]        [k] __sysvec_call_function_single
     0.58%     0.02%  mariadbd         [kernel.kallsyms]        [k] exit_to_user_mode_loop
     0.57%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_io_getevents
     0.57%     0.02%  mariadbd         [kernel.kallsyms]        [k] sched_ttwu_pending
     0.56%     0.03%  mariadbd         [kernel.kallsyms]        [k] __softirqentry_text_start
     0.56%     0.01%  mariadbd         [kernel.kallsyms]        [k] do_io_getevents
     0.56%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_futex
     0.55%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] do_futex
     0.53%     0.06%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_call_function
     0.53%     0.46%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.53%     0.08%  mariadbd         [kernel.kallsyms]        [k] task_tick_fair
     0.53%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] consume_skb
     0.52%     0.01%  mariadbd         [kernel.kallsyms]        [k] read_events
     0.52%     0.01%  swapper          [kernel.kallsyms]        [k] _nohz_idle_balance.constprop.0.isra.0
     0.52%     0.52%  mariadbd         [kernel.kallsyms]        [k] update_cfs_group
     0.51%     0.15%  swapper          [kernel.kallsyms]        [k] tick_nohz_next_event
     0.51%     0.51%  swapper          [kernel.kallsyms]        [k] get_typical_interval
     0.50%     0.49%  mariadbd         [kernel.kallsyms]        [k] copy_user_generic_string
     0.50%     0.07%  swapper          [kernel.kallsyms]        [k] finish_task_switch.isra.0
     0.50%     0.01%  swapper          [kernel.kallsyms]        [k] amd_pmu_disable_all
     0.50%     0.06%  mariadbd         [kernel.kallsyms]        [k] nvme_map_data
     0.50%     0.50%  mariadbd         [kernel.kallsyms]        [k] __restore_fpregs_from_fpstate
     0.50%     0.14%  mariadbd         [kernel.kallsyms]        [k] set_task_cpu
     0.49%     0.07%  tclsh8.6         [kernel.kallsyms]        [k] _raw_spin_lock
     0.49%     0.30%  mariadbd         [kernel.kallsyms]        [k] ktime_get
     0.49%     0.01%  mariadbd         [kernel.kallsyms]        [k] __mark_inode_dirty
     0.48%     0.08%  mariadbd         [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.48%     0.48%  swapper          [kernel.kallsyms]        [k] __switch_to_asm
     0.48%     0.08%  tclsh8.6         [kernel.kallsyms]        [k] kmem_cache_alloc_node
     0.48%     0.46%  mariadbd         [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.47%     0.11%  mariadbd         [kernel.kallsyms]        [k] wake_affine_weight
     0.46%     0.06%  mariadbd         [kernel.kallsyms]        [k] update_blocked_averages
     0.45%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_call_function
     0.45%     0.01%  mariadbd         [kernel.kallsyms]        [k] irqentry_exit_to_user_mode
     0.44%     0.05%  swapper          [kernel.kallsyms]        [k] tick_nohz_restart_sched_tick
     0.44%     0.19%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_queue
     0.44%     0.44%  mariadbd         [kernel.kallsyms]        [k] cpuacct_charge
     0.44%     0.13%  swapper          [kernel.kallsyms]        [k] set_next_entity
     0.43%     0.03%  mariadbd         [kernel.kallsyms]        [k] lockless_pages_from_mm
     0.43%     0.42%  tclsh8.6         [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0
     0.42%     0.00%  mariadbd         [kernel.kallsyms]        [k] ext4_dirty_inode
     0.42%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_da_write_begin
     0.41%     0.41%  mariadbd         [kernel.kallsyms]        [k] __switch_to_asm
     0.41%     0.05%  swapper          [kernel.kallsyms]        [k] update_blocked_averages
     0.40%     0.05%  swapper          [kernel.kallsyms]        [k] rebalance_domains
     0.39%     0.37%  mariadbd         [kernel.kallsyms]        [k] __update_load_avg_se
     0.39%     0.03%  mariadbd         [kernel.kallsyms]        [k] __alloc_pages
     0.39%     0.03%  swapper          [kernel.kallsyms]        [k] sched_clock_cpu
     0.39%     0.02%  swapper          [kernel.kallsyms]        [k] try_to_wake_up
     0.38%     0.38%  mariadbd         mariadbd                 [.] crc32c_3way
     0.38%     0.04%  mariadbd         [kernel.kallsyms]        [k] ttwu_do_wakeup
     0.38%     0.38%  swapper          [kernel.kallsyms]        [k] read_tsc
     0.38%     0.02%  mariadbd         [kernel.kallsyms]        [k] __lock_page_or_retry
     0.37%     0.02%  mariadbd         [kernel.kallsyms]        [k] wait_on_page_bit_common
     0.37%     0.01%  mariadbd         [kernel.kallsyms]        [k] delete_from_swap_cache
     0.37%     0.03%  mariadbd         [kernel.kallsyms]        [k] consume_skb
     0.37%     0.11%  mariadbd         [kernel.kallsyms]        [k] gup_pgd_range
     0.37%     0.33%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock
     0.36%     0.36%  mariadbd         [kernel.kallsyms]        [k] update_cfs_rq_h_load
     0.36%     0.06%  swapper          [kernel.kallsyms]        [k] load_balance
     0.36%     0.07%  mariadbd         [kernel.kallsyms]        [k] flush_smp_call_function_queue
     0.36%     0.06%  swapper          [kernel.kallsyms]        [k] __hrtimer_start_range_ns
     0.35%     0.35%  swapper          [kernel.kallsyms]        [k] native_sched_clock
     0.35%     0.35%  mariadbd         libpthread-2.28.so       [.] __pthread_mutex_lock
     0.35%     0.17%  mariadbd         [kernel.kallsyms]        [k] migrate_task_rq_fair
     0.35%     0.00%  mariadbd         [kernel.kallsyms]        [k] io_schedule
     0.35%     0.35%  mariadbd         [kernel.kallsyms]        [k] __list_del_entry_valid
     0.35%     0.04%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_enter
     0.35%     0.01%  mariadbd         [kernel.kallsyms]        [k] __sysvec_call_function
     0.35%     0.02%  mariadbd         [kernel.kallsyms]        [k] get_page_from_freelist
     0.35%     0.00%  kswapd0          [kernel.kallsyms]        [k] rmap_walk_anon
     0.35%     0.03%  swapper          [kernel.kallsyms]        [k] hrtimer_next_event_without
     0.35%     0.35%  mariadbd         [kernel.kallsyms]        [k] _find_next_bit
     0.35%     0.06%  mariadbd         [kernel.kallsyms]        [k] check_preempt_curr
     0.34%     0.34%  mariadbd         [kernel.kallsyms]        [k] __switch_to
     0.34%     0.34%  mariadbd         [kernel.kallsyms]        [k] llist_add_batch
     0.34%     0.21%  mariadbd         [kernel.kallsyms]        [k] update_rq_clock_task
     0.34%     0.03%  mariadbd         [kernel.kallsyms]        [k] lookup_swap_cache
     0.34%     0.03%  mariadbd         [kernel.kallsyms]        [k] touch_atime
     0.33%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     0.33%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] dequeue_task_fair
     0.33%     0.00%  mariadbd         [kernel.kallsyms]        [k] free_swap_cache
     0.33%     0.02%  mariadbd         [kernel.kallsyms]        [k] free_swap_slot
     0.33%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] futex_wait
     0.33%     0.02%  mariadbd         [kernel.kallsyms]        [k] mem_cgroup_swapin_charge_page
