# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7237253268086
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.62%     0.01%  Sampler Reader   [kernel.kallsyms]  [k] do_user_addr_fault
     0.62%     0.00%  VM Thread        [kernel.kallsyms]  [k] tlb_flush_mmu
     0.61%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.61%     0.03%  java             [kernel.kallsyms]  [k] lock_page_lruvec_irq
     0.60%     0.29%  java             [kernel.kallsyms]  [k] numa_migrate_prep
     0.60%     0.10%  VM Thread        [kernel.kallsyms]  [k] __handle_mm_fault
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] kthread
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ret_from_fork
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] worker_thread
     0.59%     0.54%  java             [kernel.kallsyms]  [k] page_counter_charge
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] process_one_work
     0.59%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_end_io_rsv_work
     0.59%     0.43%  java             [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.58%     0.56%  LocalJobRunner   [kernel.kallsyms]  [k] __ptep_modify_prot_start
     0.58%     0.00%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_release_io_end
     0.58%     0.10%  kworker/u96:0-e  [kernel.kallsyms]  [k] ext4_finish_bio
     0.58%     0.09%  java             [kernel.kallsyms]  [k] pick_next_task_fair
     0.57%     0.48%  LocalJobRunner   [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.57%     0.14%  LocalJobRunner   [kernel.kallsyms]  [k] balance_dirty_pages_ratelimited
     0.57%     0.00%  java             [kernel.kallsyms]  [k] __mem_cgroup_uncharge
     0.56%     0.00%  VM Thread        [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.56%     0.13%  VM Thread        [kernel.kallsyms]  [k] release_pages
     0.55%     0.07%  java             [kernel.kallsyms]  [k] lru_cache_add
     0.55%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
     0.54%     0.11%  java             [kernel.kallsyms]  [k] __pagevec_lru_add
     0.53%     0.05%  java             [kernel.kallsyms]  [k] uncharge_batch
     0.53%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] tick_sched_timer
     0.52%     0.50%  java             [kernel.kallsyms]  [k] task_numa_fault
     0.52%     0.02%  java             [kernel.kallsyms]  [k] scheduler_tick
     0.52%     0.20%  java             [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.51%     0.01%  Sampler Reader   [kernel.kallsyms]  [k] handle_mm_fault
     0.51%     0.31%  LocalJobRunner   [kernel.kallsyms]  [k] lru_gen_add_page
     0.50%     0.05%  java             [kernel.kallsyms]  [k] remove_migration_pte
     0.50%     0.00%  kswapd1          [kernel.kallsyms]  [k] try_to_unmap_flush_dirty
