# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 4927039491892
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.22%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_destruct_scm
     0.22%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] sock_wfree
     0.22%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.22%     0.05%  postgres         [kernel.kallsyms]  [k] set_page_dirty
     0.21%     0.14%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.21%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_block_write_begin
     0.21%     0.00%  postgres         [kernel.kallsyms]  [k] io_schedule
     0.21%     0.03%  postgres         [kernel.kallsyms]  [k] do_epoll_wait
     0.21%     0.01%  kcompactd1       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.21%     0.19%  tclsh8.6         [kernel.kallsyms]  [k] unix_write_space
     0.21%     0.00%  postgres         [kernel.kallsyms]  [k] pte_alloc_one
     0.21%     0.08%  postgres         [kernel.kallsyms]  [k] rmqueue_bulk
     0.21%     0.13%  kcompactd0       [kernel.kallsyms]  [k] vma_interval_tree_iter_next
     0.21%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_def_readable
     0.21%     0.00%  postgres         [kernel.kallsyms]  [k] default_wake_function
     0.20%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] ep_poll_callback
