# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 38K of event 'cycles'
# Event count (approx.): 4209789632036
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     0.14%     0.02%  postgres         [kernel.kallsyms]  [k] ext4_bio_write_page
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_flush_plug_list
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.14%     0.01%  postgres         [kernel.kallsyms]  [k] walk_component
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] blk_flush_plug_list
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] lookup_fast
     0.14%     0.00%  swapper          [kernel.kallsyms]  [k] common_interrupt
     0.14%     0.00%  postgres         [kernel.kallsyms]  [k] __ip_append_data
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] wake_up_page_bit
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_sched_insert_requests
     0.13%     0.00%  swapper          [kernel.kallsyms]  [k] asm_common_interrupt
     0.13%     0.00%  kswapd0          [kernel.kallsyms]  [k] __delete_from_page_cache
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] sock_alloc_send_skb
     0.13%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.13%     0.03%  postgres         [kernel.kallsyms]  [k] ext4_find_extent
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_locked_key_bookmark
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] submit_bio
     0.13%     0.04%  postgres         [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_try_issue_list_directly
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] __sysvec_call_function_single
     0.13%     0.08%  kcompactd0       [kernel.kallsyms]  [k] vma_interval_tree_iter_next
     0.13%     0.13%  postgres         [kernel.kallsyms]  [k] __d_lookup_rcu
     0.13%     0.00%  swapper          [kernel.kallsyms]  [k] __common_interrupt
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] submit_bio_noacct
     0.13%     0.01%  postgres         [kernel.kallsyms]  [k] __block_commit_write.constprop.0.isra.0
